ID,英文詞彙,中文詞彙,中國大陸譯名,更新日期
21366029,floor tile,地磚,地砖；地板砖,
21366030,floppy disk,軟碟,軟盤,
21366031,floppy disk drive,軟碟機；軟式磁碟機,软式磁盘机,
21366032,fluorescence,螢光,熒光,
21366033,fluorescent agent,螢光劑,荧光剂 ；荧光增白剂；白色染料,
21366034,fluorescent lamp,日光燈；螢光燈,日光灯；荧光灯,
21366035,flying car,飛行汽車；飛行車,飞行汽车,
21366036,flying saucer,飛碟；不明飛行物；幽浮,飞碟 ；不明飞行物,
21366037,focus,焦點,亮點,
21366038,folder,文件夾；檔案夾；資料夾,文件夹；档案夹,
21366039,folding tray,折疊桌,折叠桌；折台,
21366040,food additive,食品添加物,食品添加剂,
21366041,food starch,太白粉,生粉,
21366042,foreign exchange reserves,外匯存底,外汇储备,
21366043,forgetful,脫線,脱线,
21366044,formalin,福馬林,福尔马林,
21366045,fourth estate,第四權,第四权；第四权力,
21366046,francium,鍅,钫,
21366047,free fall,自由下落,自由降落,
21366048,free range eggs,土雞蛋,土鸡蛋；笨鸡蛋,
21366049,free travel,自由行,自由行；个人游,
21366050,freelancer,自由業,自由职业,
21366051,freestyle,捷泳；自由式,捷泳；自由式；自由泳；爬泳,
21366052,freeware,免費軟體,免费软件,
21366053,freon,氟氯烷,氟利昂,
21366054,frozen dessert,冰品,冰品；冷食,
21366055,frozen food,冷凍食品,冷冻食品；速冻食品,
21366056,frozen vegetables,冷凍蔬菜,冷冻蔬菜；速冻蔬菜,
21366057,fudge,牛奶糖,牛奶糖；奶糖,
21366058,fuel cycle,燃料裝填週期；核子反應器爐心壽命,换料周期；堆芯寿期,
21366059,full-shaped,全形,全角,
21366060,gamma ray,伽馬射線,伽马射线；丙种射线,
21366062,gas cylinder,瓦斯桶；瓦斯鋼瓶,煤气罐；液化气罐,
21366063,gas stove,瓦斯爐,燃氣灶,
21366064,gateway,閘道；閘道器,网关；网间连接器,
21366065,Gecko,守宮；壁虎,守宫；壁虎；蝎虎；蝎虎子,
21366066,gender equality,男女平等；兩性平權,男女平等,
21366067,gene chip,基因晶片,基因芯片,
21366068,gene knockout,基因剔除,基因敲除,
21366069,general education,通識教育,通才教育,
21366070,generation gap,代溝,代沟；代差,
21366071,genetically modified food,基因改造食品,基因改造食品；转基因食品,
21366072,genetically modified organism {= GMO},基改生物；基因改造生物,遗传修饰生物体,
21366073,genome,基因體,基因组,
21366074,geodetic datum,大地基準點,大地基准点；大地原点,
21366075,germ layer,胚層,胚层；胚叶,
21366076,get stood up,放鴿子,放鸽子；放飞机,
21366077,gibberellic acid,吉貝酸；激勃酸,赤霉酸,
21366078,gibberellin,吉貝素；激勃素,赤霉素,
21366079,gift certificate,禮券,礼券；代币券；代金券,
21366080,glow stick,螢光棒,荧光棒,
21366081,glycine,甘胺酸,甘氨酸；氨基乙酸,
21366082,go on strike,罷課,罢教,
21366083,gonorrhea,淋病；菜花,淋病,
21366084,grade crossing,(鐵路)平交道,道口,
21366085,grade retention,留級,留级；留班；蹲班,
21366086,granite,花崗石；花崗岩,花岗石；花岗岩；麻石,
21366087,grape tomato,聖女番茄,圣女果,
21366088,grapefruit,葡萄柚,葡萄柚；西柚,
21366089,graphical user interface{=GUI},圖形化使用者介面,图形用户界面,
21366090,grassroots ambassador,草根大使,民間大使,
21366091,grate bar,爐條；爐橋,炉条,
21366092,green bean,四季豆,菜豆；四季豆；芸豆,
21366093,green mark,環保標章；綠色標章,绿色标志；环境标志,
21366094,green pepper,青椒,柿子椒,
21366095,Greenwich mean time,格林威治時間,格林尼治时间,
21366096,Gregorian calendar,國曆；陽曆,公历；西历；国历；阳历；太阳历；格里历,
21366097,gross income,總收入,总收入；毛收入,
21366098,gross national product,國民生產毛額,国民生产毛额；国民生产总值,
21366099,guaranteed price,保證價格,保护价,
21366100,guava,番石榴；芭樂,番石榴；鸡矢果,
21366101,guess,猜測；猜題,猜题；压题；押题,
21366102,Guinness World Records,金氏世界紀錄,吉尼斯世界纪录,
21366103,habitat,棲地；棲息地,栖地；栖息地；生境,
21366104,habitual thief,慣盜；慣賊；慣竊,惯盗；惯贼；惯窃；惯偷,
21366105,hacker,黑客；駭客,黑客,
21366106,hair dryer,吹風機,吹风机；电吹风；风筒,
21366107,hair salon,髮廊,发廊；发屋,
21366108,hairpin,髮夾；髮夾彎,发夹；发卡；发夹弯；发卡弯；掉头弯,
21366109,half-shaped,半形,半角,
21366110,hallucinogenic drug,迷幻藥,迷幻药；致幻剂,
21366111,hamburg,漢堡,汉堡；汉堡包,
21366112,hand set,聽筒,听筒；耳机,
21366113,hands-free,免持,免提,
21366114,hard disk,硬碟,硬盘 ；硬磁盘,
21366115,hard skills,硬實力,硬实力；硬力量,
21366116,hardware,硬體,硬件；硬设备,
21366117,hats off,脫帽,免冠,
21366118,hauling engine,牽引機；曳引機,牵引机,
21366119,heart,心口,心口；心口窝,
21366120,heavy motorcycle,重車,重车,
21366121,Intersex,雙性人,二形人；两性人；阴阳人；二性子,
21366122,hernia,疝氣,疝气；小肠串气,
21366123,He's from a rich family,小開,小开；富二代,
21366124,high definition,高畫質,高清；高解像,
21366125,high definition television,高解析度電視；高畫質電視,高清晰度电视；高解析度电视；高清电视,
21366126,high technology,高科技,高科技；高技术；高新技术,
21366127,high-level language,高階語言；高階程式語言,高级语言,
21366128,highlighter,螢光筆,荧光笔,
21366129,High-Occupancy Vehicle Lane,高乘載車道；高乘載專用道,多成员车辆专用道；多成员车辆专用车道,
21366130,hippies,嬉皮,嬉皮士,
21366131,hire back,回聘,回聘；返聘,
21366132,home,住家,住家；住家儿,
21366133,home page,首頁,首页；主页,
21366134,home run,全壘打；紅不讓,全垒打 ；本垒打,
21366135,home team,地主隊,主隊,
21366136,homeroom teacher ,級任；班導；導師；班導師；級任導師,级任 ；班主任,
21366138,honorary,名譽職,名誉职；名誉职务,
21366139,hoodlums,太保,阿飞,
21366140,hook and loop fastener,魔鬼氈,黏扣带；魔鬼沾；魔鬼粘；魔鬼毡；魔术贴,
21366141,Hooke's law,虎克定律,胡克定律,
21366142,host country,東道國；地主國,东道国,
21366143,house ownership certificate,房屋所有權狀,房本；房产证,
21366144,house tax,房屋稅,房产税,
21366145,Household Certificate,戶口名簿,户口本 ；户口簿；户口本儿,
21366146,househusband,家庭主夫；家庭煮夫,主夫；家庭主夫；家庭煮夫；家庭妇男,
21366147,hovercraft,氣墊船,气垫船；腾空船,
21366148,hula hoop,呼拉圈,呼拉圈,
21366149,Human Genome Project,人類基因體計畫,人类基因组计划,
21366150,human immunodeficiency virus {=HIV},愛滋病毒；人類免疫不全病毒；人類免疫缺乏病毒；人類免疫不全症病毒；人類免疫缺失症病毒,艾滋病毒；人类免疫缺陷病毒,
21366151,human shield,人肉盾牌,人肉盾牌；人体盾牌,
21366152,hybrid electric vehicle,油電車；油電混合車,油电车；油电混合动力车,
21366153,hybridization,異種雜交,异种杂交；串种,
21366154,hydrant,消防栓,消防栓；消火栓,
21366155,hydraulic shear,油壓剪,液压剪,
21366156,hydroponics,水耕,水耕；水培,
21366157,hyperlink,超鏈結；超連結,超链结 ；超链接 ；超级链结；超级链接,
21366158,hypersensitivity,過敏；過敏反應；過敏性反應,过敏；过敏反应；过敏性反应；变态反应,
21366159,hypertext markup language{=HTML},超文本標記語言；超文件標示語言,超文本置标语言,
21366160,IC (integrated circuit),積體電路,集成電路,
21366161,IC public telephone ,卡式電話,磁卡电话,
21366162,ice cream,冰淇淋,冰淇淋；冰激凌,
21366163,ICU,加護病房,重症監護病房,
21366164,identification card,身分證；國民身分證,身份证,
21366165,ideology,意識形態；意識型態,意识形态 ；观念形态,
21366166,impersonation,冒名頂替,枪替；打枪,
21366167,impotence,陽痿；陽萎,阳痿,
21366168,indecent photos case,裸照案；不雅照案,裸照案；艳照案；不雅照案；艳照门,
21366169,independent travel,自助旅行；自助旅遊,自助旅行；自助旅游；自助游,
21366170,index finger,二拇指；二拇指頭,二拇指；二拇指头；示指,
21366171,index fossil,標準化石；指準化石,标准化石；标志化石,
21366172,index of refraction,折射率,光焦度,
21366173,induced abortion,人工流產,打胎；堕胎；人工流产；人流,
21366174,induction cooker,電磁爐,电磁炉；电磁灶,
21366175,infant-asylum,育幼院,孤儿院 ；保育院,
21366176,infarction,梗塞,梗塞；梗死,
21366177,inflation,通貨膨脹；通膨,通货膨胀；通胀,
21366178,influencer,網紅,网络美女,
21366179,information,資訊,信息,
21366180,information base,資訊庫,信息库,
21366181,information flow,資訊流,信息流,
21366182,information industries,資訊工業；資訊產業,信息产业,
21366183,information security,資訊安全；資安,资讯安全；网御；信息安全；互联网安全防御,
21366184,information service network,資訊服務網,信息服务网,
21366185,information superhighway,資訊高速公路,信息高速公路,
21366186,information system,資訊系統,信息系統,
21366187,information technology{=IT},資訊技術,信息技术,
21366188,information theory,資訊理論,信息理论,
21366189,information warfare,資訊戰,信息战,
21366190,informatization,資訊化,信息化,
21366191,inkjet printer,噴墨式印表機；噴墨式列印機,喷墨打印机；喷墨式打印机,
21366192,inline skates,直排輪,直排轮；单排轮滑,
21366193,inner tube,內胎,内胎；内带；里带,
21366194,purchase,進項,进项；来项,
21366195,inside back cover,封底裡,封三,
21366196,inside front cover ,封面裡,封二,
21366197,insider trading,內線交易,内幕交易,
21366198,inspect the sentries,查哨,查哨；查岗,
21366199,instant love,速食愛情,速食恋爱；快餐恋爱,
21366200,instant noodle,泡麵；速食麵,泡面 ；方便面 ；即食面；快速面；快熟面；快餐面,
21366202,instrument landing,儀器降落,盲降,
21366203,integrated circuit{=IC},積體電路,集成块；集成电路,
21366204,intellectual disability,智能障礙,低常儿童,
21366205,intellectual property right,智慧財產權,知识产权,
21366206,intelligent,智慧型,智能型,
21366207,intensive care units,加護病房,监护病房；特护病房；重症监护室；加强治疗病房；重症监护病房,
21366208,interactive media,互動式媒體,交互式媒体,
21366209,interactive TV{=ITV},互動式電視,交互式电视,
21366210,Interchange,交流道,匝道,
21366211,intercontinental missile,洲際飛彈,洲际导弹,
21366212,interface,界面；介面,界面,
21366213,intermodal transport,複合運輸,复合运输；多式联运,
21366214,Internal Medicine,胸腔科,胸科,
21366215,international ballroom dancing,國標舞；國際標準舞,国标舞；标准舞；国际标准舞；体育舞蹈；国际标准交谊舞,
21366216,international children village,國際兒童村,国际儿童村；儿童村；SOS儿童村,
21366217,International Children's Day,國際兒童節,国际儿童节；六一国际儿童节,
21366218,international date line,國際換日線,日界线；国际日期变更线,
21366219,International Olympic Committee,國際奧林匹克委員會,国际奥林匹克委员会 ；国际奥委会,
21366220,International Phonetic Alphabet,國際音標,国际音标,
21366221,Internet,網際網路,互联网；因特网,
21366222,Internet addiction disorder,網路成癮症；嗜網症,网络综合征,
21366223,Internet café,網咖,網吧,
21366224,Internet crime,網路犯罪,网络犯罪,
21366225,Internet protocol{=IP},網際網路協定,网络通讯协议；因特网互联协议,
21366226,Internet telephone,網路電話；網際網路電話,网络电话；网上电话 ；互联网电话,
21366227,internetworking operating system,網間網路作業系統,网间网络操作系统,
21366228,intranet,內部網路,内联网,
21366229,intravenous drip,打點滴；吊點滴,打点滴；挂水；输液；打吊针；吊盐水,
21366230,intro,導言,导语,
21366231,iron powder,鐵粉,铁粉；精粉；铁精粉,
21366232,ironing board,燙衣板,熨衣板；烫衣板,
21366233,isomorph,類質同形體,类质同形体；同形体,
21366234,italian,義大利語,意大利语,
21366235,jambu,蓮霧,莲雾；洋蒲桃,
21366236,Japanese encephalitis,日本腦炎,日本脑炎；乙脑；流行性乙型脑炎,
21366237,Japanese steamed egg custard,茶碗蒸,蛋羹,
21366238,jaw bone,頜骨；顎骨,颌骨,
21366239,jaw-dropping,跌破眼鏡；瞠目結舌,跌破眼镜；跌眼镜,
21366240,Jersey barriers,紐澤西護欄,新泽西护栏；新泽西式护栏,
21366241,jet plane,噴射機,喷气式飞机,
21366242,Job's Tears,薏仁,苡仁；薏仁；薏米；薏仁米；薏苡仁；药玉米,
21366243,joint appointment,合聘,联聘,
21366244,joint guarantee,聯保,联保,
21366245,joss man,廟祝；廟公,庙祝,
21366246,joystick,搖桿,手柄,
21366247,junior college,專科；專科學校；專校,专科；专科学校；大专,
21366248,Juvenile Reformatory School,少年矯正學校,少年管教所,
21366249,Karaoke,KTV；卡拉OK,KTV；卡拉OK；歌吧；歌屋,
21366250,khaki,卡其布,卡其；卡其布；咔叽,
21366251,kickback,拿回扣,拿回扣；吃回扣,
21366252,kilobit per second{=kbps},每秒千位元數；每秒傳輸千位元數,每秒千字节；每秒千比特,
21366253,kiloBytes,千位元組,千字节,
21366254,Kindergarten,幼稚園,幼兒園,
21366255,kiwifruit,奇異果,獼猴桃,
21366256,knockout drops,蒙汗藥,蒙汗药；蒙药,
21366257,konjac,蒟蒻,蒟蒻；魔芋,
21366258,korf,籃圈；籃框,篮圈；篮筐,
21366259,La Nina,反聖嬰；反聖嬰現象,拉尼娜；拉尼娜现象；反厄尔尼诺现象,
21366260,labor lodging,工寮,工棚,
21366261,labor movement,勞工運動,工运；工人运动,
21366262,labor union,工會,工会；工联,
21366263,labour intensive,勞力密集型,劳动密集型,
21366264,laminating,護貝,过塑；塑封,
21366265,laminating machine,護貝機,塑封機；過塑機,
21366266,land bridge,天橋；陸橋,天桥；过街桥；过街天桥,
21366267,land deeds,土地所有權狀,土地所有权证,
21366268,land subsidence,地層下陷,地陷 ；地层下陷；地面沉降,
21366269,landfill site,掩埋場,填埋场；堆填场；填埋区,
21366270,Larceny,竊盜案,盗窃案,
21366271,laser,雷射；鐳射；雷射光,雷射；镭射；雷射光；莱射；莱塞；激光,
21366272,laser communication,雷射通信,雷射通信；激光通信,
21366273,laser guidance,雷射導引,激光制导,
21366274,laser printer,雷射印表機,激光打印机,
21366275,laser weapon,雷射武器,激光武器,
21366276,last train,末班車,末班车；末车,
21366277,late-night snack,宵夜,夜宵,
21366278,later class,後段班,慢班,
21366279,latex,乳膠,乳胶；胶乳,
21366281,legal aid,法律援助,法律援助；法援,
21366282,leggings,內搭褲,打底裤,
21366283,letter of credit,信用狀,信用证,
21366284,letter to the editor,讀者投書,读者来信,
21366285,level,水準,水平,
21366286,level crossing,平交道,道口,
21366287,life science,生命科學,生物学；生命科学,
21366288,light motorcycle,小綿羊；輕型機車,轻便摩托车,
21366289,light pollution,光汙染；光害；光害汙染,光污染,
21366290,light-rail,輕軌,轻轨；轻轨铁路；城铁；城市铁路,
21366291,limousine,黑頭車,黑头车,
21366292,line,路線,線路,
21366293,lip sync,假唱；對嘴,假唱；咪嘴 ；夹口型,
21366294,liquefied petroleum gas{=LPG},液化瓦斯,液化气,
21366295,liquid crystal projector,液晶投影機,液晶投影机；液晶投影器；液晶投影仪,
21366296,literary journalism,報導文學,报告文学,
21366297,live video,實況錄影,实况录像,
21366298,liver function,肝功能,肝功能；肝功,
21366299,local area network{=LAN},區域網路,局域网；局域网络,
21366300,long underpants,衛生褲,卫生裤；秋裤；棉毛裤,
21366301,long underwear,衛生衣,卫生衣；棉毛衫,
21366302,long-range cruise missile,長程巡弋飛彈,远程巡航导弹,
21366303,long-term memory,長期記憶,长期记忆；长久记忆；长时记忆,
21366304,loophole,鑽漏洞,钻空子,
21366305,lottery ticket,彩券,彩票,
21366306,low sodium salt,低鈉鹽,低钠盐；代用盐,
21366307,low-level language,低階語言,低级语言,
21366308,LPG Car,瓦斯車,天然气汽车,
21366309,lunar calendar,農民曆,农家历,
21366310,lysis,裂解,裂化,
21366311,Macaca cyclopis,臺灣獼猴,台湾猕猴；台湾猴,
21366312,magnetic levitation,磁浮列車,磁浮列车；磁悬浮列车,
21366313,mailbox,信箱,郵箱,
21366314,main memory,主記憶體,内存；内存储器；主存储器,
21366315,main referee,主裁判,主裁判；主裁,
21366316,make time,空檔,空挡,
21366317,Mandolin,曼陀林,曼陀林；曼陀琳；曼陀铃；曼德琳；曼德林,
21366318,mango,芒果,芒果；檬果；杧果,
21366319,manpower dispatch,人力派遣,劳务派遣,
21366320,manual transmission,手排；手排檔,手排；手排挡；手动挡,
21366321,marbled pork,五花肉；三層肉,五花肉,
21366322,margarine,人造奶油,人造奶油；珠酯；人造黄油,
21366325,mass transit,大眾運輸,公共交通；公交,
21366326,Master sergeant,士官長,军士长,
21366327,matchmaking,做媒,作媒；做媒；保媒,
21366328,meal kit,料理包；調理包；食物調理包,料理包；调理包,
21366329,mean value theorem,均值定理,中值定理,
21366330,means of production,生產工具,生产工具；劳动工具,
21366331,mechanism,機制,机制；机理,
21366332,mediation,仲介,中介,
21366333,Medley Swimming,混合式游泳,混合泳,
21366334,memory,記憶體,存储器,
21366335,memory card,記憶卡,记忆卡；存储卡,
21366336,menstrual period,生理期,例假,
21366337,mental preparation,心理準備,心理准备；思想准备,
21366338,menu,菜單；選單；功能表；目錄,菜单；菜谱；选单；功能表,
21366339,Mercedes-Benz,朋馳；賓士,大奔 ；奔驰,
21366340,mercury lamp,水銀燈,水银灯；汞灯,
21366341,meter,公尺,米,
21366342,methamphetamine,冰毒；甲基苯丙胺；甲基安非他命,冰毒；大力丸；甲基苯丙胺；甲基安非他命；甲基安非他明,
21366343,metric system,公制,公制；国际公制；米制,
21366344,mezzanine,夾層屋,夹层屋；复式楼；复式住宅,
21366345,microblog,微網誌,微博,
21366346,microcomputer,微電腦；微算機；微型計算機,微电脑；微算机；微型计算机；微型电子计算机；微机,
21366347,microphone,麥克風,話筒,
21366348,midnight movie,午夜場,午夜场；零点场,
21366349,mile,邁；英里；哩,迈；英里,
21366350,milkfish,虱目魚,虱目鱼；遮目鱼；白鳞鲻,
21366351,milliliter,公撮,市撮,
21366352,mini skirt,迷你裙,迷你裙；超短裙,
21366353,mirror reflection,鏡反射；鏡面反射；鏡像反射,镜反射；镜面反射,
21366354,missile,飛彈,导弹,
21366355,mobile communication,行動通信,移动通信,
21366356,mobile device,行動裝置,行动装置；移动设备,
21366357,mobile hard disk,行動硬碟；隨身硬碟,移动硬盘,
21366358,mobile operating system,行動設備作業系統,移动操作系统,
21366359,mobile phone,手機；大哥大；行動電話,手机；大哥大；无线电话；移动电话,
21366360,modem,數據機,调制解调器,
21366361,mohair,毛海,马海；马海毛,
21366362,molality,重量莫耳濃度,重量摩尔浓度,
21366363,molar mass,莫耳質量,摩尔质量,
21366364,molar volume,莫耳體積,摩尔体积,
21366365,molarity,體積莫耳濃度,体积摩尔浓度,
21366366,mole,莫耳,摩；摩尔,
21366367,mollisol,黑土；黑沃土,黑土；暗沃土,
21366368,Molotov cocktail,燒夷彈；燃燒彈,烧夷弹；燃烧弹；纵火弹,
21366369,money box,存錢筒,儲蓄罐,
21366370,monitor,監視器,监视器；电眼；电子眼,
21366371,monoclonal antibody,單株抗體,单克隆抗体,
21366372,monthly period,生理期,例假,
21366373,moonwalk,太空漫步；月球漫步,太空漫步；月球漫步；太空步,
21366374,mop,拖把,拖把；墩布,
21366375,motel,汽車旅館；摩鐵,汽车旅馆,
21366376,motherboard,主機板,主板,
21366377,motor vehicles office ,監理所,监理所,
21366378,motorcycle,摩托車；機車,摩托车；摩托,
21366379,Mount Everest,聖母峰,珠穆朗瑪峰；珠峰,
21366380,mountain bike,登山車,登山车；山地车,
21366381,mouse,滑鼠,鼠标；鼠标器,
21366382,mousse,慕斯,慕丝；摩丝,
21366383,movie,電影,电影,
21366384,muffler,消音器,消音器；消声器,
21366385,mulching film,農膜,农膜；地膜,
21366386,multimedia,多媒體；混合媒體,多媒体；混合媒体；多介质,
21366387,multimedia messaging service,多媒體簡訊,彩信,
21366388,music poem,詩曲,音诗,
21366389,mutual induction,互感應,互感应；互感,
21366390,myocardial infarction,心肌梗塞,心肌梗塞；心梗；心肌梗死,
21366391,nail polish remover,去光水,洗甲水,
21366392,nameplate,標示牌,标示牌；标牌,
21366393,nanofiber,奈米纖維,纳米纤维,
21366394,nanomaterial,奈米材料,纳米材料,
21366395,nanometer,奈米,纳米,
21366396,nanoscience,奈米科學,纳米科学,
21366397,nanotechnology,奈米技術,纳米技术,
21366398,napalm,汽油彈；凝固汽油彈,汽油弹；凝固汽油弹；纳磅弹,
21366399,narrowband,窄頻帶,窄带,
21366400,nasogastric tube,鼻胃管,胃管；鼻饲管,
21366401,national day,國慶日,国庆日；国庆节,
21366402,national diplomacy,國民外交,民间外交,
21366403,national holiday,國定假日,国定假日；法定假日,
21366404,national income,國民所得,国民收入,
21366405,national tax,國稅,国税；中央税；国家税,
21366406,national treasury,國庫,国库；金库,
21366407,natural gas,天然氣；天然瓦斯,天然气,
21366408,natural selection,天擇；自然淘汰,天择；自然淘汰；自然选择,
21366409,nautical mile,浬；海里,浬；海里,
21366410,negative growth,負成長,负增长,
21366411,net cage,箱網,网箱,
21366412,net cage culture,箱網養殖,网箱养殖,
21366413,netbook,小筆電,上网本,
21366414,network,網路,网络,
21366415,network auction,網拍；網路拍賣,网拍；网络拍卖,
21366416,network bank,網銀；網路銀行,网银；网上银行；网络银行,
21366417,network bookstore,網路書店,网上书店,
21366418,network card,網卡；網路卡,网卡；网络卡,
21366419,network computer{=NC},網路電腦,网络计算机,
21366420,network economics,網路經濟,网络经济,
21366421,network education,網路教育,网络教育,
21366422,network marketing,網路行銷,网络营销,
21366423,network slang,網路語言,网语；网络语言,
21366424,network version,網路版,网络版,
21366425,network-coffee,網咖,网吧,
21366426,networking,網路化,网络化,
21366427,neurosis,精神官能症,精神官能症；神经症；神经官能症,
21366428,neutral,打空檔,挂空挡,
21366429,night school,夜大,夜大；夜大学,
21366430,Nobel Prize,諾貝爾獎,诺贝尔奖；诺奖,
21366431,noise,噪音,噪音；噪声,
21366432,noise pollution,噪音汙染,噪音污染；噪声污染,
21366433,non-stick pan,不沾鍋,不沾锅；不粘锅,
21366434,nonwoven fabric,不織布,不织布；无纺织布；非织造布,
21366435,normal saline,生理食鹽水,生理盐水,
21366436,North-bound,上行,上行,
21366437,northeast monsoon,東北季風,东北季候风,
21366438,notebook,筆記型電腦,筆記本電腦,
21366439,notebook computer,筆記型電腦,手提电脑；笔记本；笔记本电脑,
21366440,nuclear power plant,核電廠；核能電廠；核能發電廠,核电厂；核能电厂；核能发电厂；核电站,
21366441,nuclear reaction,核反應；核子反應,核反应,
21366442,nuclear reactor,核反應爐；核反應器,反应堆；反应炉；原子炉；核反应堆；核子反应炉；原子核反应堆,
21366443,nuclear submarine,核子潛艇,核潜艇,
21366444,nuclear test,核子試爆,核试验,
21366445,nuclear war,核子戰爭,核战争,
21366446,nursing,看護；看護工,护工,
21366447,nylon,尼龍；耐隆,尼龙；锦纶,
21366448,Offenses Against Public Safety,公共危險罪,危害公共安全罪,
21366449,Offenses Chargeable Only upon Complaint,告訴乃論,告诉乃论；告诉才处理,
21366450,offer some ideas,出招,出招；出招儿,
21366451,office building,辦公大樓,写字楼,
21366452,offline,下線；離線,下线；离线；下网；脱机,
21366453,off-line operation,離線作業,离线作业,
21366454,off-topic,離題,离题；走题；跑题,
21366455,omnibus,公共汽車；公車,公共汽车；公交；公汽；公交车,
21366456,on line,連線,联机,
21366457,on time,準點,准点；正点,
21366458,one-piece dress,連衣裙；連身裙,连衣裙,
21366459,online game,線上遊戲,网游；线上游戏；网络游戏；在线游戏,
21366460,On-line literature,網路文學,网络文学,
21366461,online shopping,線上購物；網路購物,网购；网上购物；网络购物,
21366462,online survey,線上調查,网调；在线调查,
21366463,on-the-job training,在職訓練,在职培训；岗位培训,
21366464,oolong tea,烏龍茶,乌龙茶；青茶,
21366465,open university,空大；空中大學,电大 ；电视大学,
21366466,opening ceremony,開學典禮；始業式,开学典礼,
21366467,operation,營運,营运；运营,
21366468,operation system,作業系統,操作系統,
21366469,operator,話務員；接線生,接线员；话务员,
21366470,optical disk (disc) drive,光碟機,光盤驅動器；光驅,
21366471,optical fiber,光纖,光纤；光纤维；光学纤维；光导纤维,
21366472,orange juice,柳橙汁,橙汁；柳橙汁；橙子汁,
21366473,Ordinary Train,普快車,普快车,
21366474,Organization of the Petroleum Exporting Countries,石油輸出國家組織,石油输出国组织；石油输出国家组织；欧佩克,
21366475,origin,起點站,始发站,
21366476,out of stock,缺貨,缺货；脱销,
21366477,out of tune,走音,走音；跑调；跑调儿,
21366478,outer space,外太空,宇宙空间；外层空间,
21366479,outfielder,外野手,外野手；外场手,
21366480,overtaking prohibited,雙黃線,双黄线；中心双实线,
21366481,over-the-counter market,店頭；店頭市場,场外交易市场,
21366482,ovoviviparity,卵胎生,卵胎生；半胎生,
21366483,ozone layer,臭氧層,臭氧层；臭气层,
21366484,package of software,軟體包,软件包,
21366485,packaged software,套裝軟體,套装软件,
21366486,packet switching,封包交換；分封交換,封包交换；包交换；分组交换,
21366487,pager,呼叫器,传呼机；呼机；考机；拷机；寻呼机；无线寻呼机,
21366488,palmtop computer,掌上型電腦；個人數位助理,掌上型电脑；掌上电脑；个人数字助理,
21366489,panda,熊貓,熊猫；猫熊；大熊猫,
21366490,pantyhose,褲襪,裤袜；袜裤；连裤袜,
21366491,paper clip,迴紋針,回形针 ；曲别针,
21366492,papilloma virus,乳突狀瘤病毒,乳头状瘤病毒,
21366493,Paralympic Games,帕拉林匹克運動會,残奥会 ；残疾人奥运会 ；残疾人奥林匹克运动会,
21366494,parasol,涼傘；陽傘,凉伞；阳伞；旱伞,
21366495,Parkinson disease,巴金森氏症；帕金森氏症,帕金森病；柏金逊症；巴金森氏症；帕金森氏症；帕金森综合症；震颤麻痹综合症；帕金森综合征,
21366496,particulate matter,懸浮微粒,可吸入颗粒物,
21366497,particulate matter 2.5{=PM2.5},PM2.5；細懸浮微粒,PM2.5；细颗粒物 ；可入肺颗粒物,
21366498,parts per billion,十億分率；十億分點,十亿分率,
21366499,part-timer,時薪制勞工,钟点工；小时工,
21366500,party popper,拉炮,拉炮；彩炮；礼宾花,
21366501,passing bay,避車道；避車彎,避车道,
21366502,passive smoking,吸二手菸,吸二手烟；抽二手烟；被动吸烟,
21366503,peak hour,尖峰期,高峰期,
21366504,peak time,尖峰時間,高峰时间,
21366505,Peanut,花生,花生；落花生；长生果,
21366506,electric assisted bicycle,電動輔助自行車,助力车；电动车,
21366507,pedestrian crossing,行人穿越道,人行橫道,
21366508,pedestrian mall,徒步區；行人徒步區,步行街,
21366509,pee,小便,小便；小解；小遗；解小手,
21366510,pencil sharpener,削鉛筆機,削铅笔机；卷笔刀；转笔刀,
21366511,pentazocine,速賜康；潘他唑新,镇痛新；喷他佐辛,
21366512,perfect attendance,全勤,全勤；满勤,
21366513,periodical,定期,定期；死期,
21366514,peripheral equipment,周邊設備,周边设备；外围设备,
21366515,Perm,燙髮,烫发；烫头,
21366516,personal computer{=PC},個人電腦,个人电脑；个人计算器,
21366517,personification,比擬；轉化,比拟,
21366518,pestilential disease,疫病,疫病；病疫,
21366519,phosphor,螢光粉,荧光粉；荧火粉,
21366520,photoconductor drum,感光鼓,感光鼓；硒鼓,
21366521,photocopy,複印本；影印本,复印件；影印件,
21366522,photography,攝影,摄影；摄像,
21366523,phototropism,向光性；趨光性,向日性；向光性；趋光性；向旋旋光性,
21366524,phrase,片語,词组；短语,
21366525,physical examination,體檢,体检；查体,
21366526,physical therapist,物理治療師,理疗师；物理治疗师；康复师,
21366527,picture in picture,子母畫面電視,双画面电视,
21366528,picture tube,映像管,显像管,
21366529,piggy bank,存錢筒,儲蓄罐,
21366530,pilot,引水人,引港；领港,
21366531,pineapple,鳳梨,菠蘿,
21366532,pint,品脫,品脱,
21366533,pirate,海盜,海盗；海匪,
21366534,Piso,披索,比索,
21366535,pizza,比薩；披薩,比萨 ；比萨饼,
21366536,plasma tv,電漿電視,等离子电视,
21366537,plastic bag,塑膠袋,塑料袋,
21366538,plastic explosive,塑膠炸彈,塑胶炸弹；塑料炸弹,
21366539,plastomer,塑料；塑膠,塑料,
21366540,platform,月臺,站臺,
