ID,英文詞彙,中文詞彙,更新日期
21373641,engine endurance,發動機工作壽命;   發動機大修前持續工作時間;  發動機大修間隔里程,
21373642,engine endurance test,發動機耐久性試驗; 引擎耐久性試驗,
21373643,engine engagement,發動機接合(指與減速機構嚙合),
21373644,engine envelope,引擎外廓; 發動機工作包絡線,
21373645,engine equipment,引擎裝備; 發動機裝備,
21373646,engine life,引擎壽命; 發動機壽命,
21373647,engine operating station (EOS),引擎操縱臺,
21373648,engineering casualty control book,輪機故障處理手冊,
21373649,engineering evaluation,工程評估,
21373650,engine-room platform,機艙平臺甲板; 機艙平臺,
21373651,enhanced safety management (ESM),加強安全管理章程,
21373652,enssemble average,總體樣本平均,
21373653,enthalpy of combustion,燃燒焓,
21373654,enthalpy of formation,生成焓,
21373655,entry into force,開始生效,
21373656,envelope,包絡線; 振幅輪廓,
21373657,epsilon - caprolactam (molten or aqueous solution),ε-己内醯胺(熔化状或水溶液),
21373658,equation of state,狀態方程式,
21373659,equator skirt,赤道裙圍套筒(LNG船),
21373660,equipment management system (EMS),設備管理系統,
21373661,equivalent design wave (EDW),等效設計波,
21373662,equivalent pressure,等效壓力,
21373663,equivalent yield strength,等效降伏強度,
21373664,Error Detection and Correction (EDC),偵錯及修正,
21373665,error-prone repair,錯誤傾向修復,
21373666,essential variable,必要變數,
21373667,estimated failure curve,估計失效曲線,
21373668,ethyl acetate,醋酸乙酯,
21373669,ethyl acetoacetate,乙醯醋酸乙酯,
21373670,ethyl alcohol,乙醇,
21373671,ethylcyclohexane,乙基環己烷,
21373672,ethylene carbonate,乙烯乙酯,
21373673,ethylene glycol,乙二醇,
21373674,ethylene glycol butyl ether,乙二醇丁基醚,
21373675,ethylene glycol butyl ether acetate,乙二醇醋酸丁基醚,
21373676,ethylene glycol methyl butyl ether,乙二醇甲基二丁醚,
21373677,ethylene glycol methyl ether,乙二醇甲基醚,
21373678,ethylene glycol methyl ether acetate,乙二醇醋酸甲基醚,
21373679,ethylene glycol phenyl ether,乙二醇苯基醚,
21373680,ethylene glycol phenyl ether / diethylene glycol phenyl ether mixture,乙二醇苯基醚/二乙二醇苯基醚混合物,
21373681,ethylene glycol tert-butyl ether,乙二醇三級丁醚,
21373682,ethylenediamine tetraacetic acid tetrasodium salt solution,乙二胺四酯酸四鈉鹽溶液,
21373683,ethylene-vinyl acetate copolymer (emulsion),乙烯-醋酸乙烯酯共聚物乳膠; 乙烯-醋酸乙烯酯共聚物,
21373684,Euro code,歐洲規範,
21373685,Eurpische Norm (EN),歐洲標準,
21373686,evaluation level,評價等級,
21373687,event tree analysis (ETA),事件樹分析,
21373688,exact solution,精確解,
21373689,examiner,審查員,
21373690,examining body,審查部門; 審查機構,
21373691,excessive cavitation,過量空化; 過度空化,
21373692,excessive deflection,過度變形,
21373693,Exclusive Economic Zone (EEZ),專屬經濟區,
21373694,exercise cruise,演習航行,
21373695,exhaust gas cleaning (EGC),廢氣清潔,
21373696,exhaust gas cleaning system (EGCS),廢氣清潔系統,
21373697,exhaust gas flow,廢氣流量,
21373698,expected average life,預期平均壽命,
21373699,explicit solution,顯式解,
21373700,explosive echo ranging (EER),爆炸音響回音測距法,
21373701,explosive load,爆炸負荷,
21373702,Extended Line of Sight (ELOS),視線延伸,
21373703,extensive property,外延性質,
21373704,extent of cavitation,空化範圍,
21373705,extent of damage,損傷範圍; 損害程度; 損失程度,
21373706,extent of error,誤差範圍,
21373707,extent of field,油田延伸範圍,
21373708,extent of porosity,孔隙度,
21373709,extent of primary structure,主結構範圍,
21373710,extent of target,目標長度; 目標範圍,
21373711,extented tension leg platform (ETLP),延伸型張力腿式平臺,
21373712,exterior extent,外延,
21373713,externally framed structure,潛艇外肋骨結構; 外肋骨結構,
21373714,extreme bending moment,極值彎矩; 極端彎矩值,
21373715,extreme condition,極端情況,
21373716,extreme hogging bending moment,極端舯拱彎矩值,
21373717,extreme sagging bending moment,極端舯垂彎矩值,
21373718,fabrication platform,裝銲平臺,
21373719,face centred cubic structure (FCC),面心立方堆積晶格,
21373720,Facilitation Committee (FAL),便利委員會,
21373721,Fahrenheit,華氏度,
21373722,"failure modes, effects and criticality analysis (FMECA)",失效模式、效應與關鍵性分析,
21373723,fan coil unit (FCU),風機盤管,
21373724,far field,遠聲場; 遠場,
21373725,far-field radiation,遠場輻射,
21373726,fast breeder reactor (FBR),快滋生式原子爐(核動力潛艇-輕水式原子爐),
21373727,fast cruise,繫泊試俥,
21373728,fatigue crack,疲勞龜裂; 疲勞裂痕; 疲勞裂紋,
21373729,fatique screening assessment procedure,疲勞評估篩選分析法,
21373730,fault tree analysis (FTA),故障樹分析,
21373731,feather edge,根緣(銲道),
21373732,fibre composite,纖維狀複材,
21373733,field terminal platform (FTP),油區生產終端平臺; 現場生產終端平臺,
21373734,field weld,現場銲接銲道,
21373735,filled composite,填充狀複材,
21373736,finite value,有限值,
21373737,fire control system (FCS),射控系統,
21373738,fire protection,防火,
21373739,fire resistant,阻火劑; 抗火的; 防火的; 耐火的; 抗燃的; 耐高溫的,
21373740,fire retardant chemical,阻火劑,
21373741,Fire Safety System code (FSS code),國際消防安全系統章程; 消防安全系統章程,
21373742,fire-tight integrity,防火完整性,
21373743,firing system of naval gun,艦炮發射系統,
21373744,first  law of thermodynamics,熱力學第一定律,
21373745,first law efficiency,第一定律效率,
21373746,first order estimate,第一階近似估算法,
21373747,first yield point,第一降伏點,
21373748,Fischer-Tropsch diesel oil,費托柴油,
21373749,Fischer-Tropsch synthesis process (FT synthesis process),費托合成程序,
21373750,fishing platform,捕魚平臺; 漁撈平臺; 漁撈甲板,
21373751,fitness-for purpose,適用性,
21373752,fixed offshore platform,固定式近海平臺; 固定式離岸平臺,
21373753,fixed pile drilling platform,樁固定式鑽井平臺,
21373754,fixed platform,固定式平臺,
21373755,fixed platform with mat,沉墊式固定平臺,
21373756,fixed-pile platform,固定樁平臺; 定樁鑽油臺,
21373757,fixture jig,夾治具,
21373758,Flag Officer Submarines (FOSM),潛艦將官,
21373759,flake composite,薄片狀複材,
21373760,flame cutting,火焰切割; 焰切,
21373761,flame resistance test,耐燃燒試驗,
21373762,flanged beam,折邊梁; 帶凸緣梁,
21373763,flare-bevel weld,喇叭－單斜銲道,
21373764,flare-V weld,喇叭－Ｖ形銲道,
21373765,flaring platform,天然氣火炬平臺,
21373766,Fleet Satellite Communication (FLTSATCOM),艦隊衛星通信系統,
21373767,flexible fin propeller,柔性鰭槳,
21373768,flexible structure,柔性結構,
21373769,floating dump,浮游堆積站; 浮游倉庫,
21373770,floating instrument platform,浮式儀器平臺; 海上浮動觀測塔臺,
21373771,floating platform,浮式平臺,
21373772,floating production platform,浮式生產平臺; 浮式採油平臺,
21373773,floating shock platform,浮動式衝擊平臺,
21373774,fluctuation of mass flow,質量流波動,
21373775,fluctuation ratio,波動比,
21373776,fluid-structure short,流-振短路,
21373777,flux rate,通量率,
21373778,"forced, controlled lubricaltion",壓力強制潤滑,
21373779,forged ring,鍛造環,
21373780,form factor,形狀因子,
21373781,formal safety assessment (FSA),正規安全分析,
21373782,formamide,甲醯胺,
21373783,forward looking infrared technology,紅外線前導偵知技術,
21373784,forward surface,前表面,
21373785,free expansion,自由膨脹,
21373786,free field,自由聲場; 自由場,
21373787,Frequency Division Multiplexing (FDM),分頻多工,
21373788,Frequency Modulation (FM),頻率調變; 調頻,
21373789,frequency-domain solution,頻域解,
21373790,fresh water temperature cooler,淡水進出溫度冷卻器,
21373791,Fresnel lens,菲涅爾透镜,
21373792,Fresnel lens optical aid system,菲涅爾透镜光學助降系統,
21373793,Frigate (FF),巡防艦,
21373794,front-end engineering design (FEED),前端工程設計階段; 前端工程設計,
21373795,fuel capacity,燃料容量; 燃料儲備量,
21373796,fuel cell boat,燃料電池船,
21373797,fuel life,核燃料使用期限; 燃料使用期限,
21373798,fuel oil high pressure booster pump,燃油高壓增壓泵,
21373799,fuel oil low pressure feed pump,燃油低壓增壓泵,
21373800,fuels lifecycle label (FLL),燃料生命週期標籤,
21373801,fugacity,逸態性; 逸度; 逸能,
21373802,fugacity coefficient,逸度係數; 逸態性係數,
21373803,fully mechanized welding,全機械化銲接; 機械化銲接,
21373804,function test,功能試驗,
21373805,fusible insert,可熔融塞材,
21373806,fusion line,熔融線,
21373807,gamma-butyrolactone (GBL),γ-丁酸丙酯; γ-丁內酯,
21373808,gangway platform,舷梯平臺; 步橋平臺,
21373809,gas backings,氣體背襯,
21373810,Gas Carrier Code (GCC),氣體貨運載船章程,
21373811,gas shield,氣體遮蔽; 氣罩; 氣體遮護,
21373812,gathering platform,集油平臺,
21373813,Gaussian quadrature,高斯積分法; 高斯求積,
21373814,gear wheel rim,大齒輪圈,
21373815,gearing efficiency,傳動效率,
21373816,gelation,膠化; 凝膠化,
21373817,general configuration,一般構形; 通用配置,
21373818,general profile,一般側面佈置; 概况,
21373819,general rule,通則,
21373820,general solution,通解,
21373821,generalized compressibility chart,通用可壓縮性圖,
21373822,generalized entropy chart,通用熵圖,
21373823,generalized fugacity coefficient chart,通用逸度係數圖,
21373824,generalized potential,廣義勢,
21373825,generalized potential equivalent temperature,廣義相當位溫,
21373826,generating line,衍生線; 母線,
21373827,generic sensor format (GSF),通用傳感器格式,
21373828,geometric acoustics,幾何聲學,
21373829,geometric angle of attack,幾何攻角,
21373830,ghost frequency,幽靈頻率; 鬼頻,
21373831,ghost harbor,荒廢的死港; 死港; 遺港; 荒廢港口的遺址,
21373832,ghost image,散雜影像; 幻像; 假像; 重像; 雙重圖像; 行跡,
21373833,ghost in Fourier synthesis,傅立葉合成鬼峰,
21373834,ghost line,偏折流線; 幻影線(鋼中磷偏析和氧化物渣滓造成的帶狀組織缺陷); 鬼線(光柵光譜疊影),
21373835,ghost meter,重影測試器,
21373836,ghost mode,幻像振盪型; 混附振盪型(波導管中的); 幻像模式; 重影模式,
21373837,ghost pattern,幻影圖式,
21373838,ghost peak,假峰,
21373839,ghost phenomenon,重影現象,
21373840,ghost pulse,虛假脈衝; 寄生脈衝,
21373841,ghost pulse interaction,假信號干擾,
21373842,ghost relie,殘影體,
21373843,ghost-free television,無重影電視,
21373844,ghosting,重像; 拖毛; 無風駛帆航行; 行跡; 虛反射; 虛反射現象,
21373845,ghosting effect,假峰效應; 怪峰效應,
21373846,Gibbs free energy,吉布士自由能,
21373847,Gibbs function,吉布士函數,
21373848,Gibbs potential,吉布士位能,
21373849,Gibbs theorem,吉布士定理,
21373850,gin pole platform,起重扒桿平臺; 人字架平臺,
21373851,global navigation satellite system (GNSS),全球導航衛星系統,
21373852,global positioning system (GPS),全球定位系統,
21373853,globally harmonized system  (GHS),化學品全球調和制度,
21373854,gluing of propeller,螺槳膠合連接,
21373855,glycerin,甘油,
21373856,"glycine, sodium salt solution",氨基乙酸鈉鹽溶液,
21373857,good practice,良好慣例; 好的做法; 良好習慣做法,
21373858,gouging,開槽; 挖槽; 熔刮,
21373859,graphic processing unit (GPU),圖形處理器; 視覺處理器; 顯示核心; 顯示芯片,
21373860,grating platform,格棚平臺,
21373861,gravitational red shift,重力紅移,
21373862,gravitational wave,重力波,
21373863,gravity steel structure platform,重力式鋼結構平臺,
21373864,groove weld,開槽銲; 開槽銲道; 對接銲道,
21373865,gross deformation,總體變形,
21373866,ground test platform,陸上試驗臺,
21373867,ground-nut oil,花生油,
21373868,Group of Experts on the Scientific Aspects of Marine Pollution (GESAMP),海洋污染科學專家組,
21373869,guaranteed service life,保用期限,
21373870,gudgeon pin piston,軸頭銷式活塞,
21373871,guidance drawing and specification,(合約)指引圖與規範; 指引圖及規範,
21373872,Guided Missile Destroyer (DDG),導彈驅逐艦,
21373873,gun blast,炮口火焰,
21373874,gun blast pressure,炮口焰壓; 炮震壓力,
21373875,Gun Launched Guided Projectile (GLGP),火炮發射導引炮彈,
21373876,gun projectile,炮彈,
21373877,gun recoil,火炮後座力,
21373878,gun welding machine,銲槍; 點銲槍; 電銲槍; 銲槍管,
21373879,gunnery boat,炮艦,
21373880,guyed tower offshore platform,牽索塔式離岸平臺; 牽索塔式近海平臺,
21373881,gyroscope stabilized platform,迴轉儀穩定平臺,
21373882,gyroscopic stable platform,陀螺穩定平臺,
21373883,Hankel function,漢克爾函數,
21373884,harbor acceptance test (HAT),泊港驗收試驗,
21373885,harbor anchoring test (HAT),泊港試驗,
21373886,hard data,硬數據,
21373887,hard information,硬性信息(指客觀、確鑿、可驗證的信息),
21373888,harmonic solution,調和解,
21373889,harness knife complete with sheath,配有刀鞘之工具刀,
21373890,harpoon gun platform,捕鯨砲平臺,
21373891,harshness,聲振粗糙度,
21373892,hazard and operability analysis (HAZOP),危害與可操作性分析,
21373893,hazard and operability studies (HAZOP),危害與可操作性研究; 危害與可操作性學習,
21373894,Hazard of Electromagnetic Radiation (HERO),電磁輻射危害,
21373895,hazardous chemicals for bulk shipment (BCH),載運散裝危險化學品船舶構造與設備規則,
21373896,hazardous chemicals for bulk shipment (HCS),載運散裝危險化學品作業標準法規,
21373897,Hazardous Chemicals for Bulk Shipment (HCS/BCH),載運散裝化學品作業標準法規; 載運散裝化學品船舶構造與設備規則,
21373898,Headquarters (HQ),司令部; 本部; 指揮部,
21373899,heat input,入熱量,
21373900,heat pump,熱泵,
21373901,heat resistance overlay welding,耐熱堆銲,
21373902,heat rolling,熱軋,
21373903,heat time,加熱時間,
21373904,"heating, ventilation and air conditioning (HVAC )",暖通空調,
21373905,"heating, ventilation, air conditioning and cooling (HVAC)",空調; 空氣調節系统,
21373906,heavy item of equipment,重裝備項目,
21373907,helicoid,螺旋面;  螺旋體,
21373908,helicopter landing platform,直升機降落平臺,
21373909,helicopter platform,直升機平臺,
21373910,Helmholtz free energy,赫姆霍茲自由能; 亥姆霍茲自由能,
21373911,Helmholtz function,赫姆霍茲函數; 亥姆霍茲函數,
21373912,Helmholtz potential,赫姆霍茲位能; 亥姆霍茲位能,
21373913,Her Majesty's Ship (HMS),女王陛下之軍艦;  無畏號戰列艦,
21373914,heterogeneous mixture,異質多相混合物,
21373915,hexagonal closed-packed structure (HCP),六方最密堆積晶格,
21373916,hexamethylene diamine adipate,己二胺己二酸,
21373917,hexanol,己醇,
21373918,hexylene glycol,乙ニ醇己烯,
21373919,High Frequency Direction Finding (HFDF),高頻無線電定向,
21373920,high manganese austenitic steel for cryogenic service,低溫用高錳奧斯田鋼; 低溫用高錳奧斯體鋼,
21373921,high steel,高張力鋼; 高張度鋼,
21373922,high temperature superconducting motor,高溫超導馬達; 高溫超導電動機,
21373923,higher heating value,高熱值,
21373924,homing torpedo,追蹤魚雷,
21373925,homogeneous armor,均匀裝甲,
21373926,homogeneous solution,齊次解,
21373927,hopper transverse web frame,底斜艙橫向大肋骨,
21373928,horizontal christmas tree,水平聖誕樹,
21373929,hot crack,熱裂紋,
21373930,hot cracking test,熱裂試驗,
21373931,hot spot stress approach,熱點應力切入法,
21373932,hull mounted sonar,艦裝聲納,
21373933,human error analysis,人為誤差分析; 人為錯誤分析,
21373934,human safety,人身安全,
21373935,human-machine interface (HMI),人機介面,
21373936,Huygens principle,惠更斯原理,
21373937,Huygens-Fresnel principle,惠更斯-菲涅耳原理,
21373938,hybrid excitation synchronous motor,混合激勵同步馬達; 混合激勵同步電動機,
21373939,hybrid platform,混合型平臺; 組合平臺,
21373940,hydraulic locking,液壓鎖定,
21373941,hydrodynamic coefficient,水動力係數,
21373942,hydrodynamic spindle torque,水動力轉軸扭矩,
21373943,hydrodynamic spindle torque coefficient,水動力轉軸扭矩係數,
21373944,hydrodynamic spindle torque index,水動力轉軸扭矩指數,
21373945,hydrogen cracking,氫致脆裂; 氫裂,
21373946,hydrogen-induced underbead cracking,氫致銲道底龜裂,
21373947,hydrograph,流量歷線; 水文歷線,
21373948,ice mechanics,冰體力學,
21373949,ideal angle of attack,理想攻角,
21373950,ideal solution,理想溶液,
21373951,imperfection,瑕疵,
21373952,impulsive load component,衝擊負荷成分,
21373953,inboard side,船內側邊,
21373954,inboard side surface,船内側邊表面,
21373955,inboard surface,舷内向表面,
21373956,inception cavitation number,起始空化數,
21373957,incident of minor collision,輕微碰撞事件,
21373958,index wheel,分度齒輪,
21373959,indicate,顯示,
21373960,indirect boundary element method (IBEM),間接邊界元素法,
21373961,Inert Gas System (IGS),惰氣系統,
21373962,inertia matrix,慣性矩陣,
21373963,inertial navigator,慣性導航儀,
21373964,infrared jamming,紅外線干擾,
21373965,infrared navigation,紅外線導航,
21373966,infrared night vision device,紅外線夜視儀,
21373967,infrared signature,紅外線訊跡,
21373968,infrared tracker,紅外線跟蹤儀,
21373969,in-list,內目錄,
21373970,inner side,內側板,
21373971,inner surface,內表面,
21373972,in-plane stress,面内應力,
21373973,in-plane stress distribution,面内應力分布,
21373974,in-service function,使用功能,
21373975,in-service training,在職訓練,
21373976,integrated gasification combined cycle (IGCC),整合氣化複循環系統,
21373977,Integrated Logistic Support (ILS),整體後勤支援; 整合後勤保障,
21373978,integrated strength,整體強度; 綜合強度,
21373979,intelligence estimate,情報判斷; 敵情判斷,
21373980,intelligent manufacturing system (IMS),智能製造系統,
21373981,intensive property,內含性質; 內涵性質,
21373982,interior extent,内延,
21373983,interior leg brace,井架等的內斜撐; 內斜撐,
21373984,intermediate platform,舷梯中間平臺; 中間平臺,
21373985,intermodulation,互調信號,
21373986,internal energy,內能,
21373987,internal energy of combustion,燃燒內能,
21373988,internal imperfection,內部瑕疵,
21373989,internal structure,內部結構; 內構,
21373990,internally framed structure,潛艇內肋骨結構; 內肋骨結構,
21373991,International Bulk Chemical Code (IBC),國際散裝化學品章程,
21373992,"International Convention on Standards of Training, Certification and Watchkeeping for Seafarers (STCW)",航海人員訓練、發證及航行當值標準國際公約,
21373993,International Management Code for the Safe Operation of Ships and the Pollution Prevention (shortened as International Safety Management Code),國際船舶安全營運與防止汙染管理章程; 國際安全管理章程(簡稱),
21373994,International Maritime Mobile (IMM) Band,國際海事船臺頻帶,
21373995,International Panel on Climate Change (IPCC),政府間氣候變遷小組,
21373996,interpass temperature,層間溫度; 道間溫度,
21373997,inverse transform,逆轉換; 逆變換; 反轉換; 反變換,
21373998,inverse transformation,反變換; 反轉換; 逆轉換; 逆變換,
21373999,isoamyl alcohol,異戊醇,
21374000,isobutyl alcohol,異丁醇,
21374001,isobutyl formate,甲酸異丁酯,
21374002,isododecane,異十二烷,
21374003,isopentane,異戊烷,
21374004,isophorone,異佛爾酮,
21374005,isopropyl acetate,醋酸異丙酯,
21374006,isopropyl alcohol,異丙醇,
21374007,jacket guide pile,護套導樁,
21374008,jacket platform,導管架平臺,
21374009,jacket water pump,水套水泵,
21374010,jack-up platform,升降式平臺,
21374011,jack-up self-elevating drilling platform,樁腿自升式鑽井平臺; 自升式鑽井平臺,
21374012,jack-up-type offshore platform,自升式近海平臺; 自升式離岸平臺,
21374013,jet fuel,航空煤油; 噴射燃油,
21374014,joggler,錯折機; 折曲機,
21374015,joggling,錯折; 拼合,
21374016,joggling of beam,橫梁錯折,
21374017,joggling of frame,肋骨錯折,
21374018,joggling of shell plate,外板錯折搭接; 外板搭折,
21374019,joggling shell frame crossing welded seam,外板與肋骨錯折交叉銲縫,
21374020,joint efficiency,接頭效率; 接合效率,
21374021,Joint Tactical Information Distribution System (JTIDS),聯合戰術情報分發傳送系統; 聯合戰術情報分發系統,
21374022,junior  tactical data system (JTDS),小型戰術資料系统,
21374023,Kelvin scale,凱爾文單位; 克氏溫標; 凱氏溫標; 絕對溫標,
21374024,Kelvin source,凱文源點,
21374025,killed steel,全淨鋼; 脫氧鋼,
21374026,Kirchhoff-Helmholtz integral,克希荷夫-亥姆霍茲積分,
21374027,lack of fusion,熔解不足; 未熔合,
21374028,lack of penetration,未銲透; 未熔穿,
21374029,lactic acid,乳酸,
21374030,lagoon,潟湖,
21374031,laminar-flow extent,層流段範圍; 層流區,
21374032,laminate composite,積層狀複材,
21374033,land,熔池基底,
21374034,landing gear-oleo strut,起落架油壓支柱,
21374035,landing load,降落負荷,
21374036,"Landing Platform, Dock (LPD)",船塢平臺登陸艦,
21374037,"landing platform, helicopter (LPH)",直升機平臺登陸艦; 兩棲攻擊艦,
21374038,"Landing ship, Cargo, General Purpose (LKA)",通用型貨運登陸艦,
21374039,"Landing Ship, Dock (LSD)",船塢登陸艦,
21374040,landing trial,降落試航,
21374041,laser countermeasures,雷射對抗,
21374042,laser range finder,雷射測距儀,
21374043,laser tracker,雷射跟蹤儀,
21374044,later stage of design,設計後期階段,
21374045,latex,膠乳,
21374046,lattice dislocation,晶格錯位; 晶格位錯,
21374047,lattice specific heat,格子比熱,
21374048,launch - control computer,發射控制計算機,
21374049,launch platform,導彈發射平臺; 發射平臺,
21374050,launcher assembly platform,發射總裝臺(運載火箭),
21374051,launching platform,發射平臺; 下水觀禮臺,
21374052,law of conservation of mass,質量守恆定律,
21374053,law of mass action,質量作用定律,
21374054,layer potential,層位能,
21374055,Le Chatelier principle,雷夏特利原理; 勒沙特列原理; 平衡移動原理,
21374056,lead man,測深手; 錘手,
21374057,leadman's platform,測深平臺; 測深臺,
21374058,leakage test (leak test),密封試驗; 緊密試驗; 洩漏試驗; 漏電試驗,
21374059,Legal Committee (LEG),法律委員會,
21374060,life cycle cost,生命週期成本; 全壽命週期費用,
21374061,lifetime weighted sea method,生命期加權波法,
21374062,lifting celler platform,井口升降平臺; 地窖升降平臺,
21374063,light emitting diode (LED),發光二極管,
21374064,lignin sulphonic acid,木質素磺酸鉀,
21374065,limiting property,極限性質,
21374066,line source,線聲源,
21374067,lineage,血統,
21374068,linear estimate,線性估算,
21374069,linear indicate,線狀顯示,
21374070,liquation crack,液化裂紋,
21374071,living platform,居住平臺,
21374072,living space,住艙; 生活區,
21374073,load carrying air cushion platfom,氣墊載荷平臺,
21374074,load envelope approach,負荷包絡線切入法,
21374075,load intensity,負荷強度,
21374076,load margin,負荷餘裕; 負荷裕度,
21374077,load shortening curve,負荷缩短曲線,
21374078,load transmission,負荷傳遞,
21374079,load transmission path,負荷傳遞路徑,
21374080,loading platform,裝載平臺,
21374081,long - distance navigation computer,遠距離導航計算機,
21374082,longitudinal bending distortion,縱向收縮彎曲變形,
21374083,longitudinal shrinkage,縱向收縮,
21374084,Loran navigator,羅遠導航儀; 羅遠雙曲線無線電導航儀,
21374085,loss of stability,穩度損失,
21374086,loss of steering,無法操舵; 無法操船,
21374087,lost work,損失功,
21374088,low frequency active sensor,低頻主動感測器,
21374089,low frequency active sonar,低頻主動聲納,
21374090,low modulus material,低模數材料; 低彈模材料,
21374091,lower heating value,低熱值,
21374092,lower platform,舷梯下平臺; 下平臺,
21374093,lower yield point,下降伏點,
21374094,lube oil pump,潤滑油泵,
21374095,machinery bearer,機械承座,
21374096,maglev motor,磁懸浮馬達; 磁懸浮電動機,
21374097,magnesium chloride solution,氯化鎂溶液,
21374098,magnesium hydroxide slurry,氫氧化鎂漿,
21374099,Magnetic Airborne (or anomaly) Detection equipment (MAD),磁性空測儀; 磁性空間異常信號偵測設備,
21374100,magnetic airborne detector,航空磁性探潛儀; 磁探儀,
21374101,magnetic particle testing (MT),磁粉探傷試驗,
21374102,magnetic specific heat,磁比熱,
21374103,magneto rheological (MR) damper,磁流變阻尼器,
21374104,main design process,主設計程序,
21374105,maintenance gang,維修組; 維修班; 維修工班,
21374106,maintenance gantry,維護搭架,
21374107,maintenance welding,維修銲接; 維修熔接,
21374108,"maintenance, repair and operating (MRO)",修護、修復及操作(資訊與通訊術語),
21374109,Major NATO Commander (MNC),北約主要司令官,
21374110,major structure,基本結構; 主要結構,
21374111,Major Subordinate Command (MSC),主要下屬司令部(北約),
21374112,Major Subordinate Commander (MSC),主要下屬司令官(北約); 主要下屬指揮官(北約),
21374113,make - up air unit (MAU),外氣空調箱,
21374114,maneuvering / manoeuvring platform,操縱臺; 指揮平臺; 動力裝載操縱平臺,
21374115,manipulator,自動操控機; 機械手; 機械臂,
21374116,manned platform,有人平臺; 載人平臺,
21374117,manufacturing and testing processes,製造與測試程序,
21374118,manufacturing arrangement,製造裝置,
21374119,manufacturing organization,製造廠商組織,
21374120,marine course computer,艦船航向計算機,
21374121,Marine Environment Protection Committee (MEPC),海洋環境保護委員會,
21374122,marine life,海生物; 海上生活; 海洋環境下的壽命,
21374123,marine navigator,船舶導航系統,
21374124,marinized aircraft gas turbine,航空改裝型燃氣輪機,
21374125,maritime AGV,自動導引船,
21374126,Maritime Rear Link (MRL),海上後方通信鏈接;  海事後方通信鏈接;  海上後方聯絡鏈網,
21374127,Maritime Safety Committee (MSC),海事安全委員會,
21374128,mass flow,質量流,
21374129,mass flow rate,質量流率,
21374130,mass flux,質量通量; 質量通量率,
21374131,mat type self-elevating drilling platform,沉墊自升式鑽井平臺,
21374132,mating skirt,救援小潛艦的對接裙; 對接裙,
21374133,maximum likelihood (ML),最大概度法; 最大似然性; 最大概似性; 最大概度; 最大似然; 最大概似,
21374134,maximum likelihood criterion,最大概度準則,
21374135,maximum likelihood decision rule,最大概度率判定規則,
21374136,maximum likelihood decoding,最大概度解碼,
21374137,maximum likelihood estimate,最大概度估計; 最大概似估計; 最大似然估計,
21374138,maximum likelihood estimator,最大概度估計量; 最大概似估計量; 最大似然估計量,
21374139,maximum stress,最大應力,
21374140,mean life,平均壽命; 平均使用壽命,
21374141,mean stress,平均應力,
21374142,meanlife before failure,故障前的平均壽命,
21374143,means of embarkation and disembarkation,登輪與下船設施,
21374144,mechanical vibration,機械振動,
21374145,mechanized welding,機械化銲接,
21374146,medium steel,中碳鋼,
21374147,membrane effect,薄膜效應,
21374148,membrane tension field,薄膜張力場; 膜張力場,
21374149,Mercator track,麥卡托航線; 恆向航線; 等角航線,
21374150,meshfree boundary integral equation method (MBIE),無網格邊界積分方程式法,
21374151,metal matrix composite (MMC),金屬基複材,
21374152,metallic matrix,金屬基材,
21374153,metal-organic framework (MOF),金屬框架材料,
21374154,methyl acetate,醋酸甲酯,
21374155,methyl alcohol,甲醇,
21374156,methyl ethyl ketone,甲乙酮,
21374157,methyl isobutyl ketone,甲基異丁酮,
21374158,methyl methacrylate resin (MMA resin),甲基丙烯酸甲酯樹脂,
21374159,methyl tert-butyl ether,甲基三級丁酯醚,
21374160,microstate,微狀態,
21374161,midship side,舯側,
21374162,midship side surface,向舯側表面,
21374163,Mine Counter Measures Vessel (MCMV),反水雷艦艇;  多功能獵(掃)雷艦,
21374164,minehunting sonar,獵雷聲納,
21374165,mini tension leg platform (mini TLP),迷你張力腿式平臺,
21374166,minimum stress,最小應力,
21374167,Ministry of Defence (MOD),國防部,
21374168,minor collision,輕微碰撞,
21374169,minor damage,輕微損壞,
21374170,minor structure,子結構; 小型結構; 次要結構,
21374171,miscellaneous structure,雜項結構,
21374172,missile control computer,飛彈控制系統計算機,
21374173,missile efflux,導彈噴射氣流; 飛彈射流,
21374174,missile efflux pressure,飛彈射流壓力,
21374175,missile launching computer,飛彈發射系统計算機,
21374176,mobile digital computer,移動式數位電腦,
21374177,mobile drilling platform,移動式鑽井平臺; 移動式鑽探平臺,
21374178,mobile ocean platform,移動式海洋平臺,
21374179,mobile offshore drilling unit safety certificate,移動式近海鑽探平臺安全證書; 海上移動式鑽探裝置安全證書,
21374180,mobile surface platform,海面移動平臺,
21374181,mobile template platform,可移底盤式平臺,
21374182,mobilization of civil ship,民用船舶動員,
21374183,mobilize aircraft,機動飛機; 動員飛機,
21374184,modal synthesis,模態綜合; 模態綜合法,
21374185,modular design,模組設計,
21374186,modular horizontal launching system,模塊化水平發射系統,
21374187,modular shipbuilding technology,模塊化造船技術,
21374188,Modulator / Demodulator (MODEM),調幅 / 反調幅器;  調變 / 解調器;  數據機,
21374189,Mohr circle,莫耳圓; 摩爾圓,
21374190,molasses,糖蜜,
21374191,molded frame line,模肋骨線,
21374192,mole fraction,莫耳分率; 摩爾分率,
